"species","sci_name","cell","cell_lat","cell_lng","beta_mean","beta_sd"
"House Wren","Troglodytes_aedon",31,48.32,-93.05,0.311,0.06
"House Wren","Troglodytes_aedon",32,49.07,-89.13,0.321,0.063
"House Wren","Troglodytes_aedon",36,49.73,-72.42,0.323,0.079
"House Wren","Troglodytes_aedon",37,49.07,-68.37,0.314,0.075
"House Wren","Troglodytes_aedon",39,45.82,-94.29,0.275,0.045
"House Wren","Troglodytes_aedon",40,46.62,-90.59,0.286,0.047
"House Wren","Troglodytes_aedon",41,47.32,-86.77,0.295,0.05
"House Wren","Troglodytes_aedon",42,47.96,-82.82,0.302,0.056
"House Wren","Troglodytes_aedon",45,47.32,-70.73,0.289,0.059
"House Wren","Troglodytes_aedon",47,44.14,-91.92,0.252,0.034
"House Wren","Troglodytes_aedon",48,44.89,-88.3,0.262,0.036
"House Wren","Troglodytes_aedon",49,45.56,-84.56,0.268,0.04
"House Wren","Troglodytes_aedon",50,46.19,-80.71,0.275,0.044
"House Wren","Troglodytes_aedon",51,46.19,-76.79,0.274,0.045
"House Wren","Troglodytes_aedon",52,45.56,-72.94,0.264,0.043
"House Wren","Troglodytes_aedon",53,44.89,-69.2,0.252,0.046
"House Wren","Troglodytes_aedon",54,41.59,-93.1,0.211,0.029
"House Wren","Troglodytes_aedon",55,42.43,-89.69,0.225,0.027
"House Wren","Troglodytes_aedon",56,43.13,-86.14,0.235,0.029
"House Wren","Troglodytes_aedon",57,43.78,-82.5,0.241,0.031
"House Wren","Troglodytes_aedon",58,44.43,-78.75,0.246,0.035
"House Wren","Troglodytes_aedon",59,43.78,-75,0.237,0.035
"House Wren","Troglodytes_aedon",60,43.13,-71.36,0.229,0.036
"House Wren","Troglodytes_aedon",61,39.02,-94.23,0.168,0.037
"House Wren","Troglodytes_aedon",62,39.9,-90.96,0.181,0.03
"House Wren","Troglodytes_aedon",63,40.68,-87.6,0.193,0.027
"House Wren","Troglodytes_aedon",64,41.36,-84.13,0.205,0.027
"House Wren","Troglodytes_aedon",65,42.01,-80.56,0.213,0.029
"House Wren","Troglodytes_aedon",66,42.01,-76.94,0.212,0.031
"House Wren","Troglodytes_aedon",67,41.36,-73.37,0.2,0.036
"House Wren","Troglodytes_aedon",68,37.35,-92.21,0.144,0.046
"House Wren","Troglodytes_aedon",69,38.19,-88.95,0.158,0.038
"House Wren","Troglodytes_aedon",70,38.91,-85.63,0.166,0.034
"House Wren","Troglodytes_aedon",71,39.58,-82.23,0.178,0.033
"House Wren","Troglodytes_aedon",72,40.23,-78.75,0.187,0.034
"House Wren","Troglodytes_aedon",76,36.45,-87.06,0.132,0.05
"House Wren","Troglodytes_aedon",77,37.13,-83.76,0.143,0.045
"House Wren","Troglodytes_aedon",78,37.79,-80.44,0.153,0.044
"House Wren","Troglodytes_aedon",83,34.7,-85.28,0.108,0.063
"House Wren","Troglodytes_aedon",84,35.33,-82,0.117,0.06
"House Wren","Troglodytes_aedon",94,40.68,-69.9,0.192,0.045
"House Wren","Troglodytes_aedon",95,44.14,-65.58,0.241,0.061
