"species","sci_name","xi_mean","xi_sd","PC1"
"Ruby-throated Hummingbird","Archilochus_colubris",0.004,0.022,-0.322
"Veery","Catharus_fuscescens",0.023,0.024,1.924
"Yellow-billed Cuckoo","Coccyzus_americanus",0.12,0.033,1.938
"Eastern Wood-Pewee","Contopus_virens",0.151,0.021,1.52
"Bobolink","Dolichonyx_oryzivorus",0.078,0.026,2.708
"Gray Catbird","Dumetella_carolinensis",0.098,0.026,0.579
"Least Flycatcher","Empidonax_minimus",0.052,0.021,0.979
"Willow Flycatcher","Empidonax_traillii",0.108,0.026,2.533
"Acadian Flycatcher","Empidonax_virescens",0.097,0.025,1.081
"Kentucky Warbler","Geothlypis_formosa",0.068,0.028,-0.371
"Common Yellowthroat","Geothlypis_trichas",0.169,0.029,0.143
"Barn Swallow","Hirundo_rustica",0.09,0.025,0.264
"Yellow-breasted Chat","Icteria_virens",0.12,0.034,0.61
"Baltimore Oriole","Icterus_galbula",0.114,0.018,0.682
"Orchard Oriole","Icterus_spurius",0.029,0.019,0.221
"Black-and-white Warbler","Mniotilta_varia",0.09,0.023,-0.463
"Great Crested Flycatcher","Myiarchus_crinitus",0.17,0.021,0.252
"Nashville Warbler","Oreothlypis_ruficapilla",0.177,0.026,0.022
"Louisiana Waterthrush","Parkesia_motacilla",0.232,0.026,-1.789
"Blue Grosbeak","Passerina_caerulea",0.044,0.036,-0.267
"Indigo Bunting","Passerina_cyanea",0.09,0.018,-0.138
"Cliff Swallow","Petrochelidon_pyrrhonota",0.021,0.041,2.166
"Rose-breasted Grosbeak","Pheucticus_ludovicianus",0.072,0.017,0.723
"Eastern Towhee","Pipilo_erythrophthalmus",0.266,0.052,-2.595
"Scarlet Tanager","Piranga_olivacea",0.149,0.02,0.807
"Summer Tanager","Piranga_rubra",-0.006,0.022,0.075
"Blue-gray Gnatcatcher","Polioptila_caerulea",0.093,0.018,-1.699
"Prothonotary Warbler","Protonotaria_citrea",0.039,0.026,-0.872
"Eastern Phoebe","Sayornis_phoebe",0.446,0.049,-2.654
"Ovenbird","Seiurus_aurocapilla",0.145,0.022,0.209
"Northern Parula","Setophaga_americana",0.236,0.023,-1.679
"Black-throated Blue Warbler","Setophaga_caerulescens",0.117,0.026,0.644
"Cerulean Warbler","Setophaga_cerulea",0.023,0.033,-0.163
"Hooded Warbler","Setophaga_citrina",0.069,0.022,-1.521
"Prairie Warbler","Setophaga_discolor",0.081,0.028,-1.25
"Yellow-throated Warbler","Setophaga_dominica",0.313,0.026,-2.007
"Blackburnian Warbler","Setophaga_fusca",0.11,0.023,1.072
"Magnolia Warbler","Setophaga_magnolia",0.119,0.021,1.195
"Chestnut-sided Warbler","Setophaga_pensylvanica",0.106,0.019,0.988
"Yellow Warbler","Setophaga_petechia",0.058,0.022,1.044
"Pine Warbler","Setophaga_pinus",0.373,0.045,-3.109
"American Redstart","Setophaga_ruticilla",0.112,0.019,1.106
"Blackpoll Warbler","Setophaga_striata",0.163,0.038,2.065
"Cape May Warbler","Setophaga_tigrina",0.141,0.034,0.808
"Black-throated Green Warbler","Setophaga_virens",0.126,0.022,-0.045
"Chipping Sparrow","Spizella_passerina",0.283,0.037,-1.532
"Northern Rough-winged Swallow","Stelgidopteryx_serripennis",0.101,0.022,-1.222
"Tree Swallow","Tachycineta_bicolor",0.454,0.039,-2.081
"House Wren","Troglodytes_aedon",0.226,0.023,-0.33
"Eastern Kingbird","Tyrannus_tyrannus",0.082,0.021,1.413
"Blue-winged Warbler","Vermivora_cyanoptera",0.099,0.026,-1.054
"Yellow-throated Vireo","Vireo_flavifrons",0.073,0.019,-1.353
"Warbling Vireo","Vireo_gilvus",0.189,0.023,0.308
"White-eyed Vireo","Vireo_griseus",0.045,0.025,-1.554
"Red-eyed Vireo","Vireo_olivaceus",0.21,0.021,0.733
"Blue-headed Vireo","Vireo_solitarius",0.24,0.035,-0.739
